"序号","题目","选项1","选项2","选项3","选项4","正确答案","正确奖励id","错误奖励id","精灵id"
"54","坐也是行，立也是行，行也是行，卧也是行。(猜动物)","鱼","马","蛇","驴","1","5870","5880",""
"55","小时像逗号，在水中玩耍，长大跳得高，捉虫是冠军(打一动物名)","青蛙","鱼","蜻蜓","螃蟹","1","5870","5880",""
"56","屋里—座亭，亭中有个人，天天荡秋千，不荡就有病(打一日常用品)","钟摆","摇摇车","板凳","桌子","1","5870","5880",""
"57","勐将百余人，无事不出城。出城就放火，引火自烧身(打一日常用品)","火柴","汽油","打火机","煤油","1","5870","5880",""
"58","一个直角三角形，斜边长10.—条直角边长6.请问另一条直角边多长?","8","6","14","13","1","5870","5880",""
"59","脚像细牛脚，身像大狗重。行象后生子，须象老大人(打一动物名)","羊","猞猁","兔狲等","狐狸","1","5870","5880",""
"60","打断念头，猜一字","心","今","想","思","1","5870","5880",""
"61","九十九，猜一字","白","百","粕","仇","1","5870","5880",""
"62","老大人联欢(猜─成语)","非同儿戏","欢呼雀跃","哄堂大笑","其乐融融","1","5870","5880",""
"63","十月十日出售，猜—常用词语","卖萌","日月","买卖","茉莉","1","5870","5880",""
"64","失足青楼，连栽跟头(猜—成语)","红尘仆仆","栽跟头","头头是道","连滚带爬","1","5870","5880",""
"65","和尚打伞，打—成语","无法无天","有进无出","风雨无阻","和风细雨","1","5870","5880",""
"66","十月十日，猜一字","朝","明","朋","月","1","5870","5880",""
"67","田，猜—成语","挖空心思","桑田碧海","蓝田生玉","卸甲归田","1","5870","5880",""
"68","举重比赛，猜—成语","斤斤计较","半斤八两","力敌千钧","一言九鼎","1","5870","5880",""
"69","军火外销(猜—成语)","出口伤人","遥遥领先","供不应求","日进斗金","1","5870","5880",""
"70","身无分文想学魔术(猜—成语)","穷则思变","神乎其神","不可捉摸","变幻莫测","1","5870","5880",""
"71","悟空思做遮体裙(猜—成语)","与虎谋皮","瞻前顾后","前思后想","奇装异服","1","5870","5880",""
"72","云长义子性随和(猜—成语)","平易近人","慈眉目善","和蔼可亲","心地善良","1","5870","5880",""
"73","3个空啤酒瓶可以换1瓶啤酒，18瓶空啤酒瓶，最多可以免费喝几瓶啤酒?","9","10","12","14","1","5870","5880",""
"74","父母之命，媒妁之言(猜─成语)","不由自主","新婚快乐","花好月圆","龙凤呈祥","1","5870","5880",""
"75","狼来了，猜—水果?","杨桃","芒果","油甘","菠萝蜜","1","5870","5880",""
"76","“三更半夜”中的“三更”指的是几点?","23点至凌晨1点","1点至3点","2点至4点","3点至5点","1","5870","5880",""
"77","买回来的蔬菜，最好在清水中浸泡多长时间可除掉大部分残留农药?","30分钟———60分钟","60分钟———90分钟","90小时———120分钟","15小时———30分钟","1","5870","5880",""
"78","按照长沙标准，碎玻璃属于哪种垃圾?","可回收物","干垃圾","湿垃圾","有害垃圾","1","5870","5880",""
"79","阿姆斯特朗登上月球后，说了“个人的一小步”后一句是什么?","人类的一大步","月球很圆","人类巨大的进不","没有空气","1","5870","5880",""
"80","大气中起吸收紫外线，保护地球生命作用的是哪种成分?","臭氧","一氧化碳","二氧化硫","乙醛","1","5870","5880",""
"81","世界上最大的动物是?","蓝鲸","白鲸","虎鲨","鲸鲨","1","5870","5880",""
"82","乘座二轮摩托车时","须带安全帽","不用带安全帽","不用等红灯","可以随便变道","1","5870","5880",""
"83","按照长沙标准，榴莲壳属于哪种垃圾?","干垃圾","湿垃圾","有害垃圾","可回收垃圾","1","5870","5880",""
"84","被称为“液体面包”的是?","啤酒","白酒","牛奶","橙汁","1","5870","5880",""
"85","冰箱或空调泄露的哪种物质会破坏大气层臭氧层?","氟利昂","二氟甲烷","二氟氯甲烷","五氟乙烷","1","5870","5880",""
"86","经常被用来辨别方向的北极星是属于哪个星座的?","小熊星座","大熊星座","北冕座","仙女座","1","5870","5880",""
"87","按照宁波标准，以下不属于厨余垃圾的是?","速冻食物包装盒","茶叶渣","剩菜","蛋壳","1","5870","5880",""
"88","多少周岁以下儿童不能骑自行车上街?","12","14","16","13","1","5870","5880",""
"89","下列哪项不是端午节的习俗?","登高采菊","吃粽子","划龙舟","挂艾草与菖蒲","1","5870","5880",""
"90","按照长沙标准，以下不属于干垃圾的是?","花生壳","西瓜皮","虾壳","橘子皮","1","5870","5880",""
"91","新冠病毒的主要传播途径是?","飞沫传播","空气传播","肢体接触","同居传播","1","5870","5880",""
"92","骨质疏松症主要是身体缺乏那种矿物质?","钙","铁","辛","钠","1","5870","5880",""
"93","如果炒菜时油锅起火，应该使用哪种抢救措施?","迅速盖上锅盖，关闭煤气","用水浇灭","使用灭火器","拨打110","1","5870","5880",""
"94","我们通常所说的“干冰”是哪种气体的固态存在方式?","二氧化碳","一氧化碳","二氧化硫","硫化氢","1","5870","5880",""
"95","唐代重要人员的“官方护照”叫什么?","过所","牒文","关引","符牌","1","5870","5880",""
"96","“—寸光阴—寸金”是形容什么?","时间宝贵","金子很贵","光很强","人老的快","1","5870","5880",""
"97","保护水环境，我们应该选择使用什么洗衣粉?","无磷","有磷","蓝猫洗衣粉","汰渍洗衣粉","1","5870","5880",""
"98","按照长沙标准，小龙虾属于哪种垃圾?","湿垃圾","干垃圾","有害垃圾","可回收垃圾","1","5870","5880",""
"99","“敖包相会”中的“敖包”是?","石堆","蒙古包","小山丘","同胞","1","5870","5880",""
"100","老鼠不吃木头但又要咬坏木制品是为了什么?","磨牙","吃木头里的虫子","木头很香","老鼠闲的","1","5870","5880",""
"101","喝哪种开水对健康有益?","冷却到25度的温凉白开水","100度的开水","65度的开水","冷却到45度的温开水","1","5870","5880",""
"102","出现食物中毒症状或者误食化学品时，最先采取的急救措施是?","催吐","进行人工呼吸","向卫生防疫部门报告","吃止泻药","1","5870","5880",""
"103","“打蛇打七寸”的七寸是指?","心脏","咽喉","大肠","胆","1","5870","5880",""
"104","流行语常常说“明明可以靠长相吃饭，偏偏要靠”什么“""?","才华","能力","学历","身高","1","5870","5880",""
"105","以下哪类人群不属于不适合接种新冠疫苗的人群?","中年人","老年人","小孩","青少年","1","5870","5880",""
"106","唐朝时利用机械将冷水送向屋顶，任其沿檐直下，形成人造水帘的降温场所叫什么?","自雨亭","冷水风扇","人工浇水","窖冰","1","5870","5880",""
"107","按照长沙标准，珍珠奶茶的珍珠属于哪种垃圾?","湿垃圾","有害垃圾","干垃圾","可回收垃圾","1","5870","5880",""
"108","在火灾扑救中，要坚持什么指导思想?","救人第一","灭火第一","财产第一","保护重要资料","1","5870","5880",""
"109","流行语”世界那么大，我想去看看“出自于哪里?","辞职信","高尔基的诗","文言文","散文诗","1","5870","5880",""
"110","室外如需吐痰，应该怎么办?","把痰吐入纸巾再丢入垃圾桶","往地上吐","吐到没人的地方","吐到垃圾桶","1","5870","5880",""
"111","常见的贫血—般是缺什么?","铁","钙","铁","钠","1","5870","5880",""
"112","车辆没停稳之前","不准开车门和上下人","可以随便上下人","可以打开车门","可以把头先伸出去","1","5870","5880",""
"113","穿什么裤子最显年轻?","纸尿裤","牛仔裤","休闲裤","短裤","1","5870","5880",""
"114","以下哪个不属于”三原色“?","白","红","黄","绿","1","5870","5880",""
"115","《西游记》中鲇鱼怪”奔波儿灞“的音译源自那个—少数民族的语言?","藏族","维吾尔族","苗族","汉族","1","5870","5880",""
"116","白色污染是指什么?","塑料废弃物造成的污染","生活垃圾造成的污染","厨房垃圾造成的污染","建筑垃圾造成的污染","1","5870","5880",""
"117","能提高身体排污能力的食品是?","粗粮，豆类，海藻","苹果，西瓜，梨子","红枣，葡萄干，龙眼","红薯，地瓜，土豆","1","5870","5880",""
"118","动画片中舒克贝塔历险记中，舒克是什么职业?","飞行员","火车司机","船长","画家","1","5870","5880",""
"119","以下食品中铅含量最高的是?","松花蛋","胡萝卜","土豆","柑橘","1","5870","5880",""
"120","蟋螭是靠什么发出鸣叫声的?","翅膀","嘴巴","鼻子","腹部","1","5870","5880",""
"121","“犬子”这—称唿的盛行和下列哪位历史人物有关?","司马相如","司马伦","桓玄","刘裕","1","5870","5880",""
"122","以下哪个不是“五福临门”中的一个福?","聪慧","长寿","健康","善终","1","5870","5880",""
"123","以下哪个不是引起电气设备火灾的原因?","消耗电量小","大功率电器","电路漏电","插座损坏","1","5870","5880",""
"124","小明对妈妈说“妈妈我饿了，妈妈我饿了，妈妈我饿了。”为什么?","重要的事情说三遍","妈妈没听见","小明真的饿了","小明调皮","1","5870","5880",""
"125","交通信号灯中红灯表示禁止通行，绿灯表示准许通行，黄灯表示什么?","警示","可以通行","不能通行","看情况行驶","1","5870","5880",""
"126","“翡”和“翠”指的是同─种颜色吗?","不是","是的","","","1","5870","5880",""
"127","对人体来说，最高的安全电压是多少伏?","36","220","360","90","1","5870","5880",""
"128","“龙眼”又称作什么?","桂圆","荔枝","火龙果","砂糖橘","1","5870","5880",""
"129","安全驾驶汽车，驾驶人不应该穿哪种鞋子?","拖鞋","平底鞋","运动鞋","胶鞋","1","5870","5880",""
"130","几月几日是我国的植树节?","45363","45365","45366","45369","1","5870","5880",""
"131","传说每年平安夜晚圣诞老人送礼物时乘坐的雪橇是什么动物拉的?","驯鹿","马","驴子","袋鼠","1","5870","5880",""
"132","人体含水量百分比最高的器官是?","眼球","肺","心脏","肚子","1","5870","5880",""
"133","以下哪项不属于交通信号?","交通宣传广告","信号指示灯","交通指示牌","交警手势","1","5870","5880",""
"134","在加油站为汽车加油时，可以做以下哪种行为?","购买矿泉水","抽烟","打电话","跟人打架","1","5870","5880",""
"135","我们通常所说的“煤气中毒”是由于煤气中哪种气体吸入量造成的?","—氧化碳","二氧化碳","碳氢化合物","氮氧化合物","1","5870","5880",""
"136","摩托车后座不得乘坐未满多少周岁的未成年人?","12","16","18","15","1","5870","5880",""
"137","按照风俗习惯戒指戴在中指上表示?","恋爱中","单身中","结婚了","当长辈了","1","5870","5880",""
"138","人体具有解毒作用的内脏是?","肝脏","心脏","脾脏","眼睛","1","5870","5880",""
"139","我国历代船工，海员，渔民所信奉的神祇是谁?","妈祖","玄女","火神","玄冥","1","5870","5880",""
"140","按照长沙标准，过期药物属于哪种垃圾?","有害垃圾","可回收垃圾","干垃圾","湿垃圾","1","5870","5880",""
"141","”颜值“是用来评价—个人哪—方面的?","长相","才华","人品","衣冠","1","5870","5880",""
"142","垃圾经公众分类投放后，成为公众所在小区或社区的区域性","准公众资源","私人资源","物业资源","业主资源","1","5870","5880",""
"143","世界上第一家七星级酒店“帆船酒店”是在哪个城市?","迪拜","阿布扎比","多哈","利雅得","1","5870","5880",""
"144","夏季在烈日下工作或运动量过大出汗多时，为预防中暑应多喝什么?","盐开水","汽水","十滴水","冰水","1","5870","5880",""
"145","废电池乱丢对人体可能造成","镉中毒","铝中毒","锰中毒","镍中毒","1","5870","5880",""
"146","在公共汽车，地铁，火车，飞机等公共场所，朋友或熟人间说话应该","轻声细语，不妨碍别人","大声喧哗","随心所欲","高谈论阔","1","5870","5880",""
"147","五星红旗的比宽比例是?","3比2","3比1","5比2","5比1","1","5870","5880",""
"148","孙悟空的—个跟斗可以翻多远?","十万八千里","1万8千里","8千10里","8万1千里","1","5870","5880",""
"149","狂犬病的主要表现为?","高度兴奋","精神不振","食欲下降","怕风","1","5870","5880",""
"150","人民通常在中秋节吃什么点心以示“团圆”?","月饼","种子","年糕","元宵","1","5870","5880",""
"151","我国历史上正式确立以正月为首的是汉代什么时期?","武帝","文帝","景帝","宣帝","1","5870","5880",""
"152","在河南省舞阳县贾湖遗址出土的，最古老的旋律吹奏乐器是?","骨笛","堤","排箫","古琴","1","5870","5880",""
"153","春秋时期，曾被迫流亡十九年，最终由秦军护送返晋立为国君的是?","晋文公","晋惠公","晋成公","晋襄公","1","5870","5880",""
"154","从哪一年开始，高考被改为6月7，8日进行?","2003年","2002年","2005年","2004年","1","5870","5880",""
"155","以人为镜，可以明得失是唐太宗李世民哪位大臣的评价?","魏微","房玄龄","秦琼","尉迟恭","1","5870","5880",""
"156","1844年，洪秀全与何人深入广西传播拜上帝会，酝酿太平天国运动?","冯云山","杨秀清","萧朝贵","韦昌辉","1","5870","5880",""
"157","南陈王朝的陈后主在隋军攻入皇宫时与两宠妃藏在哪里?","水井","床下","石像后面","密道里","1","5870","5880",""
"158","提出“夫民者，万世之本也，不可欺”的是?","贾谊","贾岛","周亚夫","陆贾","1","5870","5880",""
"159","“六一居士”是哪个历史人物的别号?","欧阳修","李白","杜普","白居易","1","5870","5880",""
"160","春秋五霸中哪位霸主最先称霸?","齐恒公","楚庄王","晋文公","秦穆公","1","5870","5880",""
"161","我国出版业中历史最悠久的出版机构是?","商务印书馆","三联书店","亚东图书馆","中华书局","1","5870","5880",""
"162","都江堰是何人主持建造?","李冰","李时珍","贾思神","李春","1","5870","5880",""
"163","中国第一颗氢弹是在哪一年研制成功的?","1967年","1962年","1964年","1960年","1","5870","5880",""
"164","东晋大诗人陶渊明被称为“五柳先生”是因为?","家门前有5株柳树","名柳又排行老五","家乡在五柳县","别人起的外号","1","5870","5880",""
"165","发簪(zan)最初是?","防身的武器","身份标识","计数工具","用来装饰的","1","5870","5880",""
"166","“阳关大道”原指通往哪里的道路?","西域","东海","南国","中原","1","5870","5880",""
"167","被誉为“北宋倚声家初祖”的是?","晏殊","晏几道","范仲淹","柳永","1","5870","5880",""
"168","下列不属于春秋战国时期的“诸子百家”的是?","佛家","墨家","儒家","老庄","1","5870","5880",""
"169","“三朵”是我国哪个民族的民族英雄?","纳西族","回族","黎族","哈尼族","1","5870","5880",""
"170","以下哪一项不属于北京猿人的生活方式?","会使用骨针","用火烧食物","过着群居生活","使用石器、木棒追打野兽","1","5870","5880",""
"171","世界最早的立体地图绘制成功时，我国正处于什么朝代?","北宋","南宋","唐朝","隋朝","1","5870","5880",""
"172","“涮羊肉”是由哪一位帝王命名的?","忽必烈","铁木真","李世民","李煜","1","5870","5880",""
"173","被称为“白衣卿相”的北宋着名诗人是?","柳永","秦观","李清照","苏轼","1","5870","5880",""
"174","以下哪个城市是北宋的古都?","开封","洛阳","北京","西安","1","5870","5880",""
"175","三国时期，开始实行“九品中正制”选官制度的是?","曹丕","曹操","刘备","孙权","1","5870","5880",""
"176","春秋时期管仲提出的治国“四纲”是?","礼、义、廉、耻","仁、义、道、德","礼、义、孝、廉","仁、义、廉、耻","1","5870","5880",""
"177","以下哪位名人不属于“饮中八仙”?","柳宗元","李白","张旭","贺知章","1","5870","5880",""
"178","“运筹帷幄之中，决胜千里之外”是刘邦对谁的赞誉?","张良","萧何","韩信","樊哙","1","5870","5880",""
"179","孔子的故乡，儒家文化的发源地是?","曲阜","济南","秦安","徐州","1","5870","5880",""
"180","成语“凿壁偷光”是出自谁的苦学故事?","匡衡","孔子","孙敬","车胤","1","5870","5880",""
"181","公元960年，哪位后周节度使在陈桥驿发动兵变，建立宋朝?","赵匡胤","赵普","王溥","魏仁浦","1","5870","5880",""
"182","我国考古中发现目前世界上最早的纸是什么时期的?","西汉","秦朝","战国","东汉","1","5870","5880",""
"183","孔子名丘，字什么?","仲尼","子有","子华","仲谋","1","5870","5880",""
"184","下列哪一项不属于古“九州”之一?","随州","冀州","莱州","兖州","1","5870","5880",""
"185","哪个中国古代兵器除了实战作用，又被列于门前，体现主人身份地位?","戟","钺","矛","戈","1","5870","5880",""
"186","1937年哪个事变爆发，全面抗战由此开始?","卢沟桥","九一八","一二八","华北","1","5870","5880",""
"187","1941年3月，八路军三五九旅在旅长谁的率领下在南泥湾开展大生产运动?","王震","许世友","栗裕","肖克","1","5870","5880",""
"188","秦统一全国后，统一货币的名称为?","五铢钱","贝型币","铲型币","刀型币","1","5870","5880",""
"189","北宋谁发明的活字印刷术比欧洲早400年?","毕昇","蔡伦","沈括","王祯","1","5870","5880",""
"190","唐代壁画中常见胡服，胡服最早由谁引入中原?","赵武灵王","汉灵帝","孝文帝","隋文帝","1","5870","5880",""
"191","唐代阙楼作为礼制性建筑，其最高等级为?","三出阙","皇阙","龙凤阙","二出阙","1","5870","5880",""
"192","重庆解放的具体时间是?","18232","18172","18203","18243","1","5870","5880",""
"193","自1690年到1721年编成的哪本书是一部介绍西方数学知识百科全书?","《数理精蕴》","《晓庵新法》","《数学要义》","《崇祯历书》","1","5870","5880",""
"194","哪个史料记载的秦始皇七年的彗星，各国学者认为是世界上最早的哈雷彗星记录?","《史记》","《淮南子》","《礼记·月令》","《授时历》","1","5870","5880",""
"195","我国现存最早的中药学着作是?","《神农本草经》","《本草纲目》","《黄帝内经》","《伤寒杂病论》","1","5870","5880",""
"196","北宋时期以博学着称，着有《梦溪笔谈》的作者是?","沈括","张衡","宋应星","郭守敬","1","5870","5880",""
"197","我国的首条城市高架轨道交通线是哪个城市开通的?","上海","北京","青岛","重庆","1","5870","5880",""
"198","古人的婚礼在什么时间举行?","傍晚","早上","中午","下午","1","5870","5880",""
"199","下列字体中，哪一种是中国古代皇帝宋徽宗所创的?","瘦金体","徽宗体","瘦赵体","赵佶体","1","5870","5880",""
"200","被称为“千古诗帝”的是谁?","李煜","李白","李商隐","李益","1","5870","5880",""
"201","历史上的“三寸不烂之舌”第一人是?","毛遂","触龙","苏秦","国佐","1","5870","5880",""
"202","明朝永乐年间，从西洋归来的郑和船队带回一只异兽“麒麟”，就是现在我们所熟知的什么动物?","长颈鹿","河马","狮子","金钱豹","1","5870","5880",""
"203","因“九合诸侯，尊王攘夷”，而成为春秋五霸之首的是?","齐恒公","楚庄王","周武王","晋文公","1","5870","5880",""
"204","古代钱的单位“贯”是多少?","千枚铜钱","十枚铜钱","百枚铜钱","一枚铜钱","1","5870","5880",""
"205","《永乐大典》是哪位帝王主持编簒的 ?","朱棣","朱元璋","朱允炆","朱允炆","1","5870","5880",""
"206","“学而不思则罔”的下一句是?","思而不学则殆","迷惑而无所得","君子食无求饱，居无求安","江汉以濯之，秋阳以暴","1","5870","5880",""
"207","“中人以上，可以语上也，中人以下，不可以语上也”体现了孔子的什么教学方法?","因材施教","循序渐进","启发诱导","有教无类","1","5870","5880",""
"208","以下主张明显体现春秋战国时期的儒家思想的是?","仁者爱人","万物虚无","兼爱非攻","以法为教","1","5870","5880",""
"209","下在西汉，陆上丝绸之路的起点为?","长安(今西安)","金城(今兰州)","张掖","敦煌","1","5870","5880",""
"210","古代私塾在大门两边，分别为东塾和什么?","西塾","草房","太学","小房子","1","5870","5880",""
"211","孔子本名叫什么?","孔丘","孔猛","孔免","孔尼","1","5870","5880",""
"212","以下哪种观点不属于老子的思想?","仁政","无为而治","天法道，道法自然","矛盾对立","1","5870","5880",""
"213","孔子是中国古代最伟大的思想家和什么家之一?","教育家","儒家","到家","墨家","1","5870","5880",""
"214","孔子的家在鲁国的国都，是现在的什么地方?","曲阜","齐国","楚国","卫国","1","5870","5880",""
"215","司马相如的《长门赋》是为谁而作?","陈皇后","上官皇后","霍皇后","窦皇后","1","5870","5880",""
"216","元朝时中央最高军事管理机构是?","枢密院","中书省","门下省","政事省","1","5870","5880",""
"217","螟蛉子可以婉指?","养子","义子","母亲","师父","1","5870","5880",""
"218","《三国演义》中“吾乃常山赵子龙是也”的“常山”位于?","河北正定","山西运城","山西兴平","河北逐州","1","5870","5880",""
"219","下面不属于我国的五大古都的是?","咸阳","开封","北京","南京","1","5870","5880",""
"220","曾在长沙城北书堂山习字洗笔的唐代署名书法家是?","欧阳询","虞世南","颜真卿","柳公权","1","5870","5880",""
"221","被称为“书圣”的古代书法家为?","王义之","欧阳修","柳宗元","黄亭坚","1","5870","5880",""
"222","广州为什么会被称为“羊城”?","纪念骑着羊的仙人","很多的人放羊","哪里的羊肉好吃","羊的品种不错","1","5870","5880",""
"223","悬梁刺股的“股”是指人的哪个部位?","大腿","臀部","小腿","手臂","1","5870","5880",""
"224","隋朝大运河沟通淮河和长江的一段是?","邗沟","永济渠","通济渠","江南河","1","5870","5880",""
"225","点燃2008年奥运会主火炬的火炬手是?","李宁","刘海峰","刘翔","姚明","1","5870","5880",""
"226","被称为“政启开元，治宏贞观”的皇帝是?","武则天","唐高宗","唐玄宗","唐太宗","1","5870","5880",""
"227","古时的燕乐最初是在什么场合中演奏的?","酒宴","大街上","祭祀","大型活动","1","5870","5880",""
"228","“濠梁之辩”的两位主人公是?","庄子与慧施","庄子与公孙龙","公孙龙与慧施","孔子与颜回","1","5870","5880",""
"229","孔子于哪一年去世?","公元前479年","公元前551年","公元前342年","公元前782年","1","5870","5880",""
"230","“金声玉振”这个成语是说哪位德才兼备的名人?","孔子","孟子","庄子","老子","1","5870","5880",""
"231","“四羊方尊”是哪个朝代的文物?","商朝","西周","元朝","夏朝","1","5870","5880",""
"232","三国时期，魏国的最后一个皇帝是?","曹奂","曹髦","曹芳","曹爽","1","5870","5880",""
"233","中国共产党制度全面抗战路线的会议是?","洛川会议","瓦窑堡会议","遵义会议","洛川会议","1","5870","5880",""
"234","王昭君是在哪一位君王当政时期出塞的?","汉元帝","汉献帝","汉武帝","汉宣帝","1","5870","5880",""
"235","《周易》相传为谁所着","周文王","周文王","孔子","伏羲","1","5870","5880",""
"236","孔子是活到73岁才辞世的，那么，为什么孔子到71岁时就停止写《春秋》呢?","迷信吉凶","害怕留下骂名","怕被杀头","应为他写不动了","1","5870","5880",""
"237","我国古代对银河系的俗称是?","天河","天泉","星河","星瀚","1","5870","5880",""
"238","饮茶之风在全国广泛流行始于哪个朝代?","唐朝","元朝","汉代","南北朝","1","5870","5880",""
"239","女帝武则天的故乡是?","文水","洛阳","成都","西安","1","5870","5880",""
"240","1927年八七会议后，毛泽东在湘赣边界领导的起义是?","秋收起义","南昌起义","黄麻起义","桑植起义","1","5870","5880",""
"241","1987年，广州哪里率先创立了全国第一个农村股份经济组织，既村股份合作经济联社?","杨箕村","共和村","东阳村","天河村","1","5870","5880",""
"242","废除丞相制度，设置殿阁大学士的是?","明太祖","明惠宗","明成祖","明宣宗","1","5870","5880",""
