序号,题目,选项1,选项2,选项3,选项4,正确答案,正确奖励id,错误奖励id,精灵id
21,卢浮宫博物馆在哪个地方？,巴黎,西班牙,里约热内卢,新加坡,1,5900,5910,
22,被称为“万园之园”的是？,圆明园,颐和园,乔家大院,动物园,1,5900,5910,
23,袈裟为什么也叫百纳衣？,许多块布补缀而成,所致衣服需百天,所用材料有百种,百人合力所制,1,5900,5910,
24,狗热时用什么散热？,舌头,眼睛,耳朵,鼻子,1,5900,5910,
25,最具气质犬是？,贵宾,京巴,藏獒,秋田,1,5900,5910,
26,超市结账需要扫描产品的什么？,条形码,二维码,微信码,马赛克,1,5900,5910,
27,洗脸要用什么水？,温水,冰水,凉水,开水,1,5900,5910,
28,哪种动物象征和平？,鸽子,大雁,海鸥,鸵鸟,1,5900,5910,
29,湖南卫视叫“芒果台”，江苏卫视叫什么？,番茄台,大蒜台,鸭梨台,纳豆台,1,5900,5910,
30,中国的原创娱乐节目是什么？,春晚,非诚勿扰,新闻联播,快乐大本营,1,5900,5910,
31,泼水节是我国哪个少数名族的节日？,傣族,黎族,回族,壮族,1,5900,5910,
32,袈裟是什么职业的人穿的？,和尚,维修工,保管员,挨踢工作者,1,5900,5910,
33,煤气中毒主要是因为吸入什么？,一氧化碳,二氧化碳,甲烷,甲醇,1,5900,5910,
34,下列数字中哪一个是西方人最忌讳的？,13,7,8,6,1,5900,5910,
35,左轮手枪一共可装几颗子弹？,6颗,5颗,4颗,7颗,1,5900,5910,
36,在香港“狗仔队”是对从事什么职业的别称？,记者,老板,歌手,杀手,1,5900,5910,
37,哪家包子有主席套餐？,庆丰,姚记,护国寺,全聚德,1,5900,5910,
38,经常食用以下哪种食物容易引起铅中毒？,松花蛋,咸鸭蛋,火腿肠,披萨,1,5900,5910,
39,biangbiang面是哪个地方特色小吃？,西安,南京,杭州,北京,1,5900,5910,
40,我们通常说“背什么”来比喻代人受委屈受冤屈？,背黑锅,背债,背包袱,背靠背,1,5900,5910,
41,我们一般形容得到女子青睐的男子是交了“什么运”？,桃花运,好运,幸福运,霉运,1,5900,5910,
42,我国面积最大的湖泊是？,青海湖,太湖,鄱阳湖,洞庭湖,1,5900,5910,
43,我们通常说的成语杀哪种动物来取卵？,鸡,猴,猪,壁虎,1,5900,5910,
44,世界上最大的沙漠是？,撒哈拉沙漠,塔克拉玛干沙漠,阿拉伯沙漠,戈壁沙漠,1,5900,5910,
45,人体最坚硬的部分是哪里？,牙齿,头颅,膝盖骨,指甲,1,5900,5910,
46,中国的“雾都”是指哪个城市？,重庆,北京,天津,青岛,1,5900,5910,
47,世界上最大的哺乳动物是？,蓝鲸,大象,鲨鱼,长颈鹿,1,5900,5910,
48,生活中戏称“只要吃完不给钱的都算吃什么餐”？,霸王餐,友情餐,免费餐,快餐,1,5900,5910,
49,为什么最近“小三”那么红？,这是新兴职业,三角形有稳定性,一种潮流,进化论,1,5900,5910,
50,看到咖喱会想到哪国人？,印度,泰国,埃及,缅甸,1,5900,5910,
51,日常生活中经常使用的重量单位，一千克相当于多少斤？,2斤,3斤,1斤,4斤,1,5900,5910,
52,美国的自由女神像坐落在哪个城市？,纽约,好莱坞,加利福尼亚,密西西比,1,5900,5910,
53,十二生肖中排在龙前面一位的动物是什么？,兔,马,猴,狗,1,5900,5910,
54,鱼没有什么部位？,眼皮,皮肤,牙齿,嘴唇,1,5900,5910,
55,酸菜鱼里面放的什么椒？,泡椒,朝天椒,青椒,剁椒,1,5900,5910,
56,人体最大的解毒器官是？,肝脏,胃,肾脏,脾,1,5900,5910,
57,纯净水不是最好的饮用水，是因为它？,不含微量元素,含有矿物质,含有蛋白质,价格比较高,1,5900,5910,
58,蜡笔小新最讨厌吃什么？,青椒,玉米,红薯,茄子,1,5900,5910,
59,在宇宙空间上看到的地球主要是什么颜色？,蓝色,绿色,黄色,红色,1,5900,5910,
60,下列河流哪一条是世界流程最长？,尼罗河,长江,亚马逊河,密西西比河,1,5900,5910,
61,警车车顶的“警灯”是由红色和哪种颜色组成？,蓝色,黑色,白色,黄色,1,5900,5910,
62,烧熟后的熟食品在10℃以下冷藏的，保质期为？,24小时,48小时,8小时,一周,1,5900,5910,
63,美国圣诞节吃什么？,火鸡,水鸡,田鸡,乌鸡,1,5900,5910,
64,洒落在人间的一串项链是指？,马尔代夫,普吉岛,济州岛,夏威夷,1,5900,5910,
65,鱼翅是哪种动物的鳍制成的？,鲨鱼,比目鱼,鲷鱼,三文鱼,1,5900,5910,
66,我们通常用哪个英文字母来形容女子的身材凹凸有致？,S,O,T,U,1,5900,5910,
67,羊肉泡馍是我国哪一城市的风味美食？,西安,南京,成都,开封,1,5900,5910,
68,抽烟者在吸烟过程中放出的有害物质是什么？,尼古丁、一氧化碳,尼古丁、二氧化碳,煤焦油、二氧化碳,二氧化碳、一氧化碳,1,5900,5910,
69,传统的糖葫芦是以什么为主要原料的？,山楂,杏仁,樱桃,枸杞,1,5900,5910,
70,一节五号电池标准电压是多少伏？,1.5伏,2.0伏,2.5伏,5伏,1,5900,5910,
71,高速公路上的不停车收费系统通道是哪三个英文字母表示？,ETC,ETU,ETV,IBC,1,5900,5910,
72,盛夏消暑解渴的最佳水果是什么？,西瓜,猕猴桃,番石榴,葡萄,1,5900,5910,
73,吉林省的哪个城市有“北国春城”之称？,长春,吉林,延吉,四平,1,5900,5910,
74,绍兴酒是什么酒？,黄酒,白酒,葡萄酒,鸡尾酒,1,5900,5910,
75,啮齿类动物为什么要时常“磨牙”？,牙不停生长,恐吓敌人,肚子中有寄生虫,缺钙,1,5900,5910,
76,我国的国粹是？,京剧,戏曲,昆曲,二人转,1,5900,5910,
77,“道拉基”是哪国的食品？,韩国,日本,中国,泰国,1,5900,5910,
78,我国的“瓷都”是哪里？,景德镇,德化,武汉,四川,1,5900,5910,
79,凤梨指的是我们常说的哪种水果？,菠萝,香蕉,鸭梨,桃,1,5900,5910,
80,下列哪种食物不适于孕妇？,酸菜,牛肉,鸡汤,馒头,1,5900,5910,
81,人们俗称“棒子面”其实是由那种农作物磨成的面粉？,玉米,大米,大豆,小麦,1,5900,5910,
82,以哪种动物为原型，其“招手”形象被视为招财招福的吉祥物？,猫,狗,鹰,熊,1,5900,5910,
83,哪一道菜不是东北的？,囊包肉,锅包肉,杀猪菜,大乱炖,1,5900,5910,
84,国际通用的哪三个字母向外界发送求救信号？,SOS,HLP,XOX,UFO,1,5900,5910,
85,世界上第一个被原子弹严重破坏的城市？,广岛,神户,横滨,大阪,1,5900,5910,
86,肯德基的创始人是什么军衔？,上校,少将,中校,司令,1,5900,5910,
87,麻婆豆腐是我国哪个菜系的传统名菜？,川菜,苏菜,粤菜,徽菜,1,5900,5910,
88,使血管自动凝结的是什么物质？,血小板,红血球,白血球,血清,1,5900,5910,
89,蝙蝠晚上捉蚊子不靠眼睛，靠什么呢？,超声波,电磁波,脑电波,嘴,1,5900,5910,
90,人缺少哪种元素会造成甲状腺肿大？,碘,钾,磷,维生素A,1,5900,5910,
91,下列哪种垃圾处理方法不合理？,垃圾倒入海中,垃圾焚化,垃圾压缩处理,垃圾填埋,1,5900,5910,
92,章鱼有几只触手？,8只,2只,4只,10只以上,1,5900,5910,
93,下列哪一种属于碳酸饮料？,汽水,矿泉水,白酒,菊花茶,1,5900,5910,
94,纸浆碗最大的优势是什么？,环保,方便,卫生,新潮,1,5900,5910,
95,白鳍豚用什么呼吸？,肺,腮,肠,胃,1,5900,5910,
96,人体含水量百分比最高的器官是？,眼睛,肝,肾脏,心,1,5900,5910,
97,吃菠萝一般会用什么水泡一会儿来减少麻木刺痛感？,盐水,开水,糖水,苦水,1,5900,5910,
98,人体分解和代谢酒精的主要器官是什么？,肝,肾,胃,胆,1,5900,5910,
99,有毒的蛇头部大多为什么形状？,三角形,菱形,正方形,圆形,1,5900,5910,
100,“未会牵牛意若何，须邀织女织金梭”描写中国哪个传统节日？,七夕节,端午节,元宵节,妇女节,1,5900,5910,
101,下面哪一种是能降血压的蔬菜？,芹菜,菠菜,白菜,茼蒿,1,5900,5910,
102,抽烟最易引发什么疾病？,肺癌,肝癌,脑血栓,心梗,1,5900,5910,
103,如何预防碘缺乏？,多吃海带,多运动,多晒太阳,多吃蔬菜,1,5900,5910,
104,迪拜最奢华的酒店？,帆船酒店,格罗夫纳屋酒店,铂尔曼酒店,莱佛士酒店,1,5900,5910,
105,一听可乐的净含量是多少？,355ml,500ml,455ml,555ml,1,5900,5910,
106,世界上唯一一所没有汽车的城市？,威尼斯,洛杉矶,冰岛,日本,1,5900,5910,
107,猪心情很好时尾巴会呈什么形状？,水平摆动,卷成圈状,向上翘起,呈S状,1,5900,5910,
108,“上下两千年，纵横十万里”的伟大工程奇迹？,长城,秦始皇陵墓,大明宫,金字塔,1,5900,5910,
109,汤圆是在哪个节日上吃的？,元宵节,重阳节,端午节,中秋节,1,5900,5910,
110,大雁塔在哪里？,西安,南京,苏州,杭州,1,5900,5910,
111,水獭是怎么睡觉的？,浮在水面上,钻进沙子里,钻进树洞中,躺在床上,1,5900,5910,
112,有“钟表王国”美誉的国家是哪个？,瑞士,波兰,美国,俄罗斯,1,5900,5910,
113,被称为“紫禁城”的是哪所建筑？,故宫,白宫,凡尔赛宫,布达拉宫,1,5900,5910,
114,我国植树节是为纪念哪位人物而定的？,孙中山,白求恩,雷锋,屈原,1,5900,5910,
115,蜻蜒点水的原因是？,产卵,戏水,喝水,呼吸,1,5900,5910,
116,下列哪个岛国不是欧洲国家？,马尔代夫,爱尔兰,土耳其,冰岛,1,5900,5910,
117,下列哪个国家被称为“袋鼠之国”？,澳大利亚,新西兰,肯尼亚,索马里,1,5900,5910,
118,排放到空气中的二氧化碳过多会导致？,地球升温生态失衡,空气的氧含量下降,吸入大量二氧化碳,使石灰岩大量溶解,1,5900,5910,
119,世界上最大的禽类蛋是现存的哪种动物的蛋？,鸵鸟,鹅,恐龙,天鹅,1,5900,5910,
120,“山城”是我国哪座城市的雅号？,重庆,西安,洛阳,成都,1,5900,5910,
121,鸡蛋哪种吃法最好？,白煮,做汤,双面煎,炒鸡蛋,1,5900,5910,
122,世界上最大的宫殿是？,故宫,白宫,克里姆林宫,爱丽舍宫,1,5900,5910,
123,“西双版纳，香格里拉，玉龙雪山”是我国哪个省的景点？,云南省,四川省,山东省,海南省,1,5900,5910,
124,“WHO”代表什么世界组织？,世界卫生组织,世界贸易组织,世界绿色和平组织,“谁”组织,1,5900,5910,
125,以帆为造型的悉尼标志性建筑物是什么？,悉尼歌剧院,巴黎歌剧院,维也纳歌剧院,大都会歌剧院,1,5900,5910,
126,世界上销售量最大的酒是什么酒？,啤酒,葡萄酒,白酒,米酒,1,5900,5910,
127,“华尔街”在哪个城市？,纽约,巴黎,东京,曼谷,1,5900,5910,
128,哪项对减肥最有好处？,多做运动,多吃水果,绝食,多吃饭,1,5900,5910,
129,蛇的“七寸”是指什么？,心脏,大肠,胆,嘴,1,5900,5910,
130,澳门是哪一年回归祖国的？,1999年,2001年,2008年,1997年,1,5900,5910,
131,桂圆又称？,龙眼,龙珠,龙族,龙井,1,5900,5910,
132,蜜蜂窝的窝眼是什么形状的？,正六边形,三角形,圆形,长方形,1,5900,5910,
133,世界第一大教堂？,圣彼得大教堂,圣玛利亚教堂,米兰大教堂,圣罗伦索大教堂,1,5900,5910,
134,破坏臭氧层的元凶是？,氟里昂,氮的氧化物,煤气,二氧化碳,1,5900,5910,
135,我国国酒茅台酒出于哪个省份？,贵州,扬州,兰州,北京,1,5900,5910,
136,毒蟾蜍警告别的动物不要靠近自己的方式是？,肚皮涨得鼓鼓的,把头部高高仰起,发出低沉的恐吓声,向对方吐口水,1,5900,5910,
137,人体最大的细胞是？,卵细胞,脑细胞,淋巴细胞,干细胞,1,5900,5910,
138,原产自日本的“红富士”是哪种水果的品种？,苹果,香蕉,鸭梨,樱桃,1,5900,5910,
139,下述哪种动物不属猫科？,熊猫,老虎,狮子,豹子,1,5900,5910,
140,平时我们讲的“维他命”的学名是什么？,维生素,抗生素,胶囊,药丸,1,5900,5910,
141,“碧螺春”属于什么茶？,绿茶,红茶,白茶,岩茶,1,5900,5910,
142,世界上现存最大的两栖动物，因叫声很像幼儿哭声又名什么鱼？,娃娃鱼,蟾蜍,鳄鱼,蝾螈,1,5900,5910,
143,动物中视角最大的是？,鱼,大象,老虎,鸟,1,5900,5910,
144,母亲节适宜送什么花？,康乃馨,君子兰,玫瑰,文竹,1,5900,5910,
145,酸雨是指因为什么污染而造成的酸性降水？,空气,土壤,海水,河水,1,5900,5910,
146,我们跟老人祝寿时的吉祥话：“福如东海”下一句是？,寿比南山,身体健康,万事如意,子孙万代,1,5900,5910,
147,夫妻肺片是哪个地方特色菜？,成都,南京,杭州,湖南,1,5900,5910,
148,我国传统文化当中所说的“龙抬头”的日子是农历的哪一天？,二月二,四月四,一月一,三月三,1,5900,5910,
149,在电视机遥控器上，“menu”是表示什么的按钮？,菜单,电源,频道,音量,1,5900,5910,
150,白色污染是指哪一类污染？,塑料类污染,废水污染,废弃污染,电磁污染,1,5900,5910,
151,“狗不理包子”是中国哪个城市的传统风味小吃？,天津,上海,南京,北京,1,5900,5910,
152,驴友是指？,旅游爱好者,驴的朋友,驴之间的友谊,驴的名字,1,5900,5910,
153,用来消毒的光波是？,紫外线,红外线,伽马射线,激光,1,5900,5910,
154,哪种鸟擅长捕捉田鼠，对农业益处很大？,猫头鹰,燕子,白鹭,啄木鸟,1,5900,5910,
155,人们评价菜肴一般从哪三方面入手？,色香味,形色香,形意色,酸甜苦,1,5900,5910,
156,通常用来指代飞碟等不明飞行物的英文缩写是什么？,UFO,USA,KFC,CEO,1,5900,5910,
157,塑料在自然界可停留？,100-200年,50年,80年,40年,1,5900,5910,
158,绿色食品是指？,安全、无公害的,绿颜色的食品,经济附加值高的食品,有叶绿素的食品,1,5900,5910,
159,火车站站台的白线起什么作用？,为了安全,美观,指引方向,画着玩的,1,5900,5910,
160,火车连续发出两声长鸣这表示？,停留,倒退,前进,脱轨,1,5900,5910,
161,轮船发出六声短笛，这是表示什么呢？,遇险,转弯,避让,倒退,1,5900,5910,
162,机动车遇行人正在通过人行横道时，应当？,停车让行,绕行通过,减速通行,快速通行,1,5900,5910,
163,我国高速公路对车辆最低时速有限制，一般不得低于？,60千米每小时,50千米每小时,40千米每小时,70千米每小时,1,5900,5910,
164,机动车靠边停车时应？,开右转向灯,开左转向灯,打双闪,往右并线,1,5900,5910,
165,自动挡汽车，停车挡一般用什么英文字母表示？,P,D,R,N,1,5900,5910,
166,我国的驾照类别里，智能驾驶小型自动挡汽车的是哪一种驾照？,C2,C1,B1,A2,1,5900,5910,
167,当两人相爱，相互吸引时，相同的价值观需要？,五六个,十几个,几十个,近百个,1,5900,5910,
168,在蒙古，款待来宾的最高见面礼是什么？,牛奶,面包,马黛茶,红酒,1,5900,5910,
169,下列哪种烫衣服的方法是正确的？,掌握合适的温度,尽量长时间的熨,衣服下面垫金属,边打电话边熨,1,5900,5910,
170,K996次是什么列车？,快速,特快,直达,临时,1,5900,5910,
171,我国少数民族分布最多的省份是？,云南,广西,西藏,四川,1,5900,5910,
172,金婚是指结婚多少周年？,50周年,40周年,60周年,30周年,1,5900,5910,
173,储存土豆时应放哪里？,避光处,太阳下,水中,土里,1,5900,5910,
174,紫砂壶的产地是哪？,宜兴,苏州,桂林,长沙,1,5900,5910,
175,人体哪个部位皮肤最薄？,眼睑,手背,大腿内侧,后脑勺,1,5900,5910,
176,人舌头的哪个部位对甜味最敏感？,舌尖,舌根,舌系带,舌苔,1,5900,5910,
177,全世界小麦产量最多的国家是哪里？,中国,日本,美国,德国,1,5900,5910,
178,酒里的最主要成分是什么？,酒精,脂类,脂肪酸,芳香物质,1,5900,5910,
179,酒醉后一般喝什么会解酒？,醋,糖白开,冰水,可乐,1,5900,5910,
180,下列哪项是茶水解酒的主要作用？,促进胃肠蠕动,利尿,扩张血管,增加体内茶多酚,1,5900,5910,
181,自来水表上的一度水表示耗水量为？,1立方米,1吨,1升,100公斤,1,5900,5910,
182,珊瑚婚是指结婚多少周年？,三十五年,十五年,二十五年,五年,1,5900,5910,
183,树干为什么经常刷成白色？,灭菌,预防牲口啃食,区分树木,防火,1,5900,5910,
184,下列哪个国家一般不准女性在生人面前露面？,沙特阿拉伯,印度,印尼,孟加拉,1,5900,5910,
185,我国婚姻法规定女性结婚年龄不得早于多少周岁？,20周岁,18周岁,19周岁,30周岁,1,5900,5910,
186,我国士兵预备役的年龄范围为？,18-35周岁,18-30周岁,18-25周岁,18-20周岁,1,5900,5910,
187,防弹衣是由什么材料制成的？,陶瓷玻璃钢,镍合金钢,钨合金钢,铝合金,1,5900,5910,
188,以下词语中，哪个不属于鸟类？,菜鸟,麻雀,孔雀,啄木鸟,1,5900,5910,
189,一人表演动作，一人藏在身后说或唱，这种曲艺叫什么？,双簧,单口相声,二人转,群口相声,1,5900,5910,
190,夏季前往云南旅游应携带？,防晒用品,化妆用品,学习用品,凉鞋,1,5900,5910,
191,在公共场所贴有“安全出口”字样的提示牌一般用哪个颜色提示？,绿色,红色,黑色,白色,1,5900,5910,
192,睡眠不足会变笨，作为小学生一天必须保证多少时间的睡眠？,8小时,10小时,12小时,14小时,1,5900,5910,
193,我们常说的“小二”是北京地区对哪种酒的别称？,二锅头,燕京啤酒,勇闯天涯,女儿红,1,5900,5910,
194,“卡布奇诺”“摩卡”是属于哪种饮品的种类？,咖啡,汽水,奶昔,茶,1,5900,5910,
195,我国内地的邮政编码通常是几位数？,6位,7位,8位,10位,1,5900,5910,
196,食品标签上的“QS”的意思是？,企业食品生产许可,绿色食品,无公害食品,有机食品,1,5900,5910,
197,发生火灾时，所有的安全通道均被切断可暂时退到？,卫生间,卧室,厨房,客厅,1,5900,5910,
198,国际社会公认的“第一礼俗”是？,女士优先,相互尊重,互相宽容,懂得感恩,1,5900,5910,
199,功率大的灯泡跟功率小的灯泡比，它的灯丝？,粗而短,粗而长,细而短,细而长,1,5900,5910,
200,乘坐大型客车坐在那里最颠簸？,车尾,车头,车顶,车中间,1,5900,5910,
201,通常铅笔上的英文字母2B中的B表示什么？,软质铅笔,硬质铅笔,铅笔很2B,黑色深浅,1,5900,5910,
202,仙人掌光合作用是依靠？,茎,叶,根,花,1,5900,5910,
203,冬天，树干常常会被刷成白色，这白色液体是什么？,石灰水,石灰+盐水,白色涂料,米糊,1,5900,5910,
204,冬天里为什么将树干刷成白色？,防虫灭菌,保暖,储存水分,防火,1,5900,5910,
205,烟草里有毒性物质有焦油、尼古丁和什么？,一氧化碳,氮气,二氧化碳,一氧化硫,1,5900,5910,
206,人们一般撒什么东西来快速融化积雪路面？,盐,糖,水,面粉,1,5900,5910,
207,坐长途车要注意揉搓小腿、大腿这是为防止？,脚浮肿,止麻,晕车,窒息,1,5900,5910,
208,“席梦思”三个字源于什么？,人名,地名,树名,花名,1,5900,5910,
209,手绢是由什么演变而来的？,头巾,毛巾,围巾,枕巾,1,5900,5910,
210,劳动法规定，劳动者试用期不能超过几个月？,6个月,1个月,3个月,12个月,1,5900,5910,
211,6岁的小明用石头把人打伤，谁来承担责任？,小明的父母,小明的朋友,小明的同学,小明的叔叔,1,5900,5910,
212,竹子属于什么？,草,树,花,蔬菜,1,5900,5910,
213,用什么能洗掉衣服上的墨迹？,汽油,醋,盐,水,1,5900,5910,
214,我国铁路部门规定身高多少的儿童要买全票？,1.4米,1.5米,1.2米,1.3米,1,5900,5910,
215,洗鱼后手上有腥味用哪种东西可以去除？,牙膏,醋,水,盐,1,5900,5910,
216,飞机票头等舱的票价一般为普通舱票价的多少倍？,1.5倍,1.3倍,1.8倍,2倍,1,5900,5910,
217,食品的保质期是指它的？,最佳食用期,最终食用期,变质期,都不是,1,5900,5910,
218,正在恋爱之中戒指带在哪个手指上？,中指,大拇指,无名指,食指,1,5900,5910,
219,如果想除去衣服上的铁锈，应该使用什么？,草酸,酒精,肥皂,汽油,1,5900,5910,
220,人类最早种植的粮食作物是？,小麦,水稻,高粱,玉米,1,5900,5910,
221,烧菜时最好在何时加碘盐以减少碘的损失？,出锅时,开始就放,中间放,都行,1,5900,5910,
222,不锈钢中的什么元素使这种合金钢不生锈？,铬,锰,钨,钼,1,5900,5910,
223,人们常见的指南针上红色指针指的是？,北方,东方,西方,南方,1,5900,5910,
224,我们现在实行的八小时工作制度最早在哪个国家出现？,英国,法国,美国,中国,1,5900,5910,
225,变脸是我国哪个表演戏剧的绝活？,川剧,粤剧,昆剧,豫剧,1,5900,5910,
226,黄河流经于几个省？,9,8,7,6,1,5900,5910,
227,中国和朝鲜两国的界河叫做什么江？,鸭绿江,长江,漠河,黑河,1,5900,5910,
228,人们常说花季的年纪指多少岁？,16,17,18,19,1,5900,5910,
229,一张20元人民币破损了2分之1，到银行可以兑换到多少钱？,10元,不予兑换,5元,20元,1,5900,5910,
230,人们通常用来送花的蓝色妖姬其实是什么花？,玫瑰,郁金香,牡丹,满天星,1,5900,5910,
231,毛线商标的第一位数字表示其原料，其中“1”代表？,国产羊毛,进口羊毛,新产品,粘胶混纺,1,5900,5910,
232,睡觉时若希望更凉爽，可用？,竹席,草席,真皮凉席,藤席,1,5900,5910,
233,菽是对什么的总称？,豆类,花类,草类,肉类,1,5900,5910,
234,能把太阳的七种颜色全部吸收的物体呈？,黑色,白色,红色,紫色,1,5900,5910,
235,CBD最早产生于20世纪20年代的美国，中文译为？,商务中心区,金融地区,办公区域,有档次的地方,1,5900,5910,
236,冬天使用电火锅，当水煮干时应加入什么水？,热水,冰水,常温水,自来水,1,5900,5910,
237,电度表上的一度电表示耗电量为？,1千瓦/小时,1百瓦/小时,1千瓦/分钟,1百瓦/分钟,1,5900,5910,
238,铅笔有硬软之分，用英文字母来表示，下列哪个符号较硬？,H,B,F,HB,1,5900,5910,
239,藏历新年，人们见面时都要说“扎西德勒”是什么意思？,吉祥如意,身体健康,幸福安康,百年好合,1,5900,5910,
240,为了表演的需要，芭蕾鞋的鞋尖内塞有一小块？,木头,棉花,海绵,布,1,5900,5910,
241,天气预报：“今天阴有小雨”你可知道小雨的降雨量为多少？,15毫米以下,20毫米以下,10毫米以下,25毫米以下,1,5900,5910,
242,“无事不登三宝殿”中“三宝”，以下哪个不在“三宝”中？,道,佛,法,僧,1,5900,5910,
243,真丝衣服不能与什么放在一起？,樟脑丸,棉制品,真皮,呢绒,1,5900,5910,
244,被称为菊月的月份是？,九月,十月,八月,七月,1,5900,5910,
245,江苏”这个地名，取义于哪两个名称的连称？,南京－苏州,扬州－苏州,杭州－苏州,南京－杭州,1,5900,5910,
246,中国人民银行发行的“迎接新世纪”纪念币面值是？,10元,20元,5元,6元,1,5900,5910,
247,人们在收拾鱼身时涂下列哪种东西可防滑？,醋,糖,淀粉,水泥,1,5900,5910,
248,英国绅士为什么总要手提一把雨伞，为什么？,气候原因,为了美观,习惯,洋装配饰,1,5900,5910,
249,最早拉链的发明是为了代替什么？,系鞋带,纽扣,针线,帽子,1,5900,5910,
250,被称为杏月的月份是？,二月,三月,四月,五月,1,5900,5910,
251,电池上的“R、S、F”三个字母代表什么？,电池形状,电池尺寸,电池电量,电池材料,1,5900,5910,
252,吃西餐时，我们应该用哪只手拿刀，哪只手拿叉？,左叉右刀,左刀右叉,双手同时拿刀,双手同时拿叉,1,5900,5910,
253,我们常说的“不分青红皂白”的皂指的是什么颜色？,黑色,蓝色,棕色,绿色,1,5900,5910,
254,哪个东南亚国家因盛产翡翠而闻名世界？,缅甸,老挝,柬埔寨,中国,1,5900,5910,
255,我们常说的“一打”啤酒通常是指多少瓶？,12,6,18,24,1,5900,5910,
256,中国的国花，享有“花开富贵”之称的是什么花？,牡丹,月季,玫瑰,仙人掌,1,5900,5910,
257,世界上人口最多的是哪个大洲？,亚洲,非洲,北美洲,欧洲,1,5900,5910,
258,通常衣服上会用哪个字母表示“小号”的衣服？,S,L,M,X,1,5900,5910,
259,一般来说，我国股票市场交易日是每个星期的周一到周几？,周五,周六,周日,周二,1,5900,5910,
260,“戌”对应的是什么生肖？,狗,猪,老虎,猴子,1,5900,5910,
261,与“白领”相对应，我们把从事体力劳动工作的人称呼为什么？,蓝领,绿领,黑领,金领,1,5900,5910,
262,音译而来的日常用语“达令”通常是什么意思？,亲爱的,老婆,你好,请原谅,1,5900,5910,
263,托福是由哪国教育测验服务社举办的英语能力考试？,美国,日本,英国,中国,1,5900,5910,
264,有世界上最专业的保姆美称的是哪个国家的佣人？,菲律宾,越南,中国,新加坡,1,5900,5910,
265,下半旗是把旗子下降到？,距离杆顶的1/3处,下降1．5米,下降1米,旗杆的一半处,1,5900,5910,
266,下列哪种邮件如果丢失了，邮局不负赔偿责任？,平信,挂号信,保价邮件,非保价邮包,1,5900,5910,
267,中国南京发现地球上最薄的井盖，厚度你猜是多少？,0.7厘米,1.8厘米,2.6厘米,3.2厘米,1,5900,5910,
268,在少数民族中，人口数量最多的是什么民族？,壮族,汉族,维吾尔族,蒙古族,1,5900,5910,
269,以下哪种东西能除臭驱蚊？,晒干的残茶叶,晒干的陈皮,晒干的萝卜,鸡蛋壳,1,5900,5910,
270,饺子一开始被发明是做什么用的？,治疗冻疮,治疗脚气,去除粉刺,医治风寒,1,5900,5910,
271,以下哪项不是判断翡翠好坏的标准？,底,种,水,工,1,5900,5910,
272,铜器与什么不宜长久接触，否则会产生铜绿？,醋,酱油,酒精,花露水,1,5900,5910,
273,将电线插头脱离插座，以下哪一项是安全的做法？,小心地用手拔出,用工具撬出,用力拉电线,脚踩住插座,1,5900,5910,
274,在开阔地遇强雷雨时怎么办？,抱膝下蹲,站立不动，静候雷息,远离高大物体,趴下,1,5900,5910,
275,冬天衣服产生静电时，下列哪个东西能有效去除静电？,电池,玻璃杯,牙刷,筷子,1,5900,5910,
276,交通事故电话号码？,122,115,110,124,1,5900,5910,
